"type_logement" "annee_construction" "surface_habitable" "type_energie_chauffage" "conso_energie" "classe_conso_energie" "emission_ges"
1 1988 25 2 300.44 "C" 13.23
1 1996 64 1 148.17 "D" 34.67
1 1970 46 2 257 "C" 12
2 1958 74 1 317.03 "F" 74.18
1 2013 38 1 53.42 "C" 12.5
2 2006 65 2 176.09 "B" 6.09
2 1948 127 1 229 "E" 39
1 2019 39 2 66.44 "C" 15.55
1 1960 126 1 172.22 "E" 40.3
1 2004 43 2 228.3 "B" 9.64
1 1982 38 2 228.91 "B" 10.02
1 1974 34 2 209.15 "C" 14.69
2 2004 95 2 198.57 "B" 9.68
1 1948 74 1 268 "F" 62
1 2006 35 2 226 "B" 9
2 1989 81 1 124 "D" 29
1 2010 35 2 162 "B" 7
2 2006 85 2 206 "B" 10
2 1947 150 1 99 "D" 23
2 1998 101 3 128.72 "C" 19.72
1 1970 46 1 175.33 "E" 41.02
1 1947 65 1 210 "E" 49
1 2008 39 2 173.2 "A" 5.71
1 2004 64 2 155.78 "A" 5.63
2 2006 102 2 200 "B" 10
2 1955 130 1 328 "E" 49
1 1948 70 2 212 "D" 33
2 1947 104 2 244.69 "B" 7.96
2 2006 74 1 89 "C" 20
1 2008 41 2 291.45 "C" 14.24
1 2017 63 1 46.77 "B" 10.94
1 1989 77 1 149 "D" 35
1 2006 83 2 121 "A" 4
2 1967 67 1 168 "E" 39
1 1987 50 1 167.17 "E" 39.12
1 1900 20 2 301.06 "B" 9.8
1 2018 41 1 58.95 "C" 13.8
1 2000 50 2 155 "B" 7
1 2012 63 1 101.13 "D" 23.66
1 2007 53 2 225 "B" 8
1 1948 59 1 279 "F" 65
1 1970 54 1 145.31 "D" 34
1 2015 58 2 61.57 "C" 12.65
1 1948 80 1 210 "E" 49
2 2015 160 2 92 "A" 3
1 2013 20 2 195.77 "B" 6.37
2 1988 148 1 83.9 "C" 19.63
1 1960 55 3 176.91 "E" 50.86
1 1969 76 1 118 "D" 27
1 2006 62 2 165 "B" 6
1 1983 50 1 198 "E" 46
1 1989 72 2 163 "B" 6
1 2001 57 2 247 "C" 11
1 2008 61 2 169 "B" 8
2 1971 55 2 582.89 "E" 50.27
1 1948 66 1 138 "D" 32
2 1989 84 1 133 "D" 31
1 2006 42 2 186.33 "B" 6.31
1 2001 37 2 289 "C" 13
2 1948 127 1 329 "F" 77
1 2016 63 2 50.59 "A" 2.8
1 2014 61 1 83.81 "C" 19.61
1 1965 61 1 188.65 "E" 44.14
1 2014 45 1 64.6 "C" 15.12
1 1900 105 1 191.96 "E" 44.92
1 2006 87 1 81 "C" 16
1 1988 20 2 154.56 "B" 6.45
2 1983 85 1 163 "D" 30
2 1983 142 2 200 "B" 9
1 2001 85 2 190 "B" 10
2 2003 73 2 199.01 "B" 9.25
2 1947 168 3 313 "E" 36
1 1970 19 1 257.73 "F" 60.31
2 1947 120 2 207.3 "B" 6.75
2 1948 210 2 189.32 "B" 9.05
2 2002 155 1 156 "E" 36
2 1988 110 2 233.28 "B" 10.52
1 1948 36 1 331 "F" 77
2 1984 108 1 222 "E" 52
1 1999 82 2 169.3 "B" 7.54
1 2005 49 2 212.89 "B" 9.23
2 1978 80 1 171 "E" 40
1 2000 35 2 312.98 "C" 14.39
1 1975 28 2 347 "C" 17
1 1960 94 1 187.5 "A" 3.75
1 1992 20 2 399.24 "D" 21.17
2 1989 105 2 303 "C" 13
2 2007 111 2 200.68 "B" 9.96
2 1948 140 1 184 "E" 43
1 1989 46 2 282 "C" 15
1 1951 76 1 251.76 "F" 58.91
1 2001 55 2 154 "A" 5
2 1965 101 1 428.74 "G" 100.32
2 1992 106 2 175 "B" 10
1 1970 33 1 263.44 "F" 61.64
2 2006 190 2 98 "A" 5
2 2018 118 1 47.43 "C" 13.85
